FID,Place,Reason,Start_Date,End_Date,Lat,Long
1,"Ottawa, Canada ",Met with Government Officials,2009-02-18 00:00:00,2009-02-19 00:00:00,45.42153,-75.697193
2,"London, United Kingdom ",G-20 Summit,2009-03-31 00:00:00,2009-04-02 00:00:00,51.507351,-0.127758
3,"Strasbourg, France ",NATO Summit,2009-04-03 00:00:00,2009-04-04 00:00:00,48.583148,7.747882
4,"Baden-Baden, Germany ",NATO Summit,2009-04-03 00:00:00,2009-04-04 00:00:00,48.76564,8.228524
5,"Kehl, Germany ",NATO Summit,2009-04-03 00:00:00,2009-04-04 00:00:00,48.578873,7.816082
6,"Prague, Czech Republic ",European Council,2009-04-04 00:00:00,2009-04-05 00:00:00,50.075538,14.4378
7,"Ankara, Turkey ",Anitkabir Mausoleum,2009-04-06 00:00:00,2009-04-07 00:00:00,39.92077,32.85411
8,"Istanbul, Turkey ",Met with Archbishop Bartholomew I,2009-04-06 00:00:00,2009-04-07 00:00:00,41.00527,28.97696
9,"Baghdad, Iraq",Iraq War,2009-04-06 00:00:00,2009-04-07 00:00:00,33.325,44.422
10,"Mexico City, Mexico ",Met with President Felipe Calderon,2009-04-16 00:00:00,2009-04-17 00:00:00,19.432608,-99.133208
11,"Port of Spain, Trinidad and Tobago ",Summit of the Americas,2009-04-17 00:00:00,2009-04-19 00:00:00,10.666667,-61.516667
12,"Riyadh Province, Saudi Arabia ",Met with King Abdullah,2009-06-03 00:00:00,2009-06-04 00:00:00,22.755439,46.209155
13,"Giza, Egypt",Met with President Hosni Mubarak,2009-06-03 00:00:00,2009-06-04 00:00:00,30.013056,31.208853
14,"Cairo, Egypt ",Cairo University Speech,2009-06-03 00:00:00,2009-06-04 00:00:00,30.04442,31.235712
15,"Buchenwald, Germany ",Buchenwald Concentration Camp Visit,2009-06-04 00:00:00,2009-06-05 00:00:00,51.021508,11.249239
16,"Landstuhl, Germany ",Landstuhl Regional Medical Center,2009-06-04 00:00:00,2009-06-05 00:00:00,49.414146,7.570905
17,"Dresden, Germany ",Met with Chancellor Angela Merkel,2009-06-04 00:00:00,2009-06-05 00:00:00,51.050409,13.737262
18,"Paris, France ",Notre Dame De Paris,2009-06-05 00:00:00,2009-06-07 00:00:00,48.856614,2.352222
19,"Caen, France ",65th Anniversary of Normandy Landing,2009-06-05 00:00:00,2009-06-07 00:00:00,49.182863,-0.370679
20,"Moscow, Russia ",New Economic School Speech,2009-07-06 00:00:00,2009-07-08 00:00:00,55.755826,37.6173
21,"L'Aquila, Italy ",Met with President Giorgio Napolitano,2009-07-08 00:00:00,2009-07-10 00:00:00,42.349848,13.399509
22,"Rome, Italy ",G8 Summit,2009-07-08 00:00:00,2009-07-10 00:00:00,41.902784,12.496366
23,"Vatican City, Vatican City ",Met with Pope Benedict XVI,2009-07-09 00:00:00,2009-07-10 00:00:00,41.902181,12.455707
24,"Cape Coast, Ghana ",Cape Coast Castle,2009-07-10 00:00:00,2009-07-11 00:00:00,5.13151,-1.279474
25,"Accra, Ghana ",Met with President John Atta Mills,2009-07-10 00:00:00,2009-07-11 00:00:00,5.55,-0.2
26,"Guadalajara, Mexico ",North American Leaders' Summit,2009-08-09 00:00:00,2009-08-10 00:00:00,20.659699,-103.349609
27,"Copenhagen, Denmark ",Olympic Congress,2009-10-01 00:00:00,2009-10-02 00:00:00,55.676097,12.568337
28,"Tokyo, Japan ",Suntory Hall Speech,2009-11-13 00:00:00,2009-11-14 00:00:00,35.689488,139.691706
29,"Central Area, Singapore ",APEC Summit,2009-11-14 00:00:00,2009-11-15 00:00:00,1.386944,103.800833
30,"Shanghai, China ",Met with Shanghai Mayor Han Zheng,2009-11-15 00:00:00,2009-11-18 00:00:00,31.230416,121.473701
31,"Beijing, China ",Met with President Hu Jintao,2009-11-15 00:00:00,2009-11-18 00:00:00,39.904211,116.407395
32,"Pyeongtaek, South Korea ",Osan Air Base,2009-11-18 00:00:00,2009-11-19 00:00:00,36.992108,127.112945
33,"Seoul, South Korea ",Met with President Lee Myung-bak,2009-11-18 00:00:00,2009-11-19 00:00:00,37.566535,126.977969
34,"Oslo, Norway ",Nobel Peace Prize,2009-12-09 00:00:00,2009-12-10 00:00:00,59.913869,10.752245
35,"Copenhagen, Denmark ",UN Climate Change Conference,2009-12-17 00:00:00,2009-12-18 00:00:00,55.676097,12.568337
36,"Kabul,  Afghanistan",Met with President Hamid Karzai,2010-03-27 00:00:00,2010-03-28 00:00:00,34.533333,69.166667
37,"Bagram, Afghanistan",Bagram Air Base,2010-03-27 00:00:00,2010-03-28 00:00:00,34.944168,69.273331
38,"Prague, Czech Republic",New START Treaty,2010-04-07 00:00:00,2010-04-08 00:00:00,50.075538,14.4378
39,"Huntsville, Canada ",G8 Summit,2010-06-25 00:00:00,2010-06-27 00:00:00,45.326932,-79.216754
40,"Toronto, Canada ",G-20 Summit,2010-06-25 00:00:00,2010-06-27 00:00:00,43.653226,-79.383184
41,"Mumbai, India",Mani Bhavan Museum,2010-11-06 00:00:00,2010-11-09 00:00:00,19.075984,72.877656
42,"New Delhi, India",Met with Prime Minister Manhmohan Singh,2010-11-06 00:00:00,2010-11-09 00:00:00,28.632244,77.220724
43,"Jakarta, Indonesia",Met with President Susilo Bambang,2010-11-09 00:00:00,2010-11-10 00:00:00,-6.208763,106.845599
44,"Seoul, South Korea",G-20 Summit,2010-11-10 00:00:00,2010-11-12 00:00:00,37.566535,126.977969
45,"Tokyo, Japan",State Visit,2010-11-12 00:00:00,2010-11-14 00:00:00,35.689488,139.691706
46,"Yokohama, Japan",APEC summit,2010-11-12 00:00:00,2010-11-14 00:00:00,35.443708,139.638026
47,"Kamakura, Japan",Statue of Amida Buddha,2010-11-12 00:00:00,2010-11-14 00:00:00,35.319225,139.546687
48,"Lisbon, Portugal",NATO Summit,2010-11-19 00:00:00,2010-11-20 00:00:00,38.722252,-9.139337
49,"Bagram, Afghanistan",War in Afghanistan,2010-12-02 00:00:00,2010-12-03 00:00:00,34.944168,69.273331
50,"Brasília, Brazil",Met with President Dilma Rousseff,2011-03-19 00:00:00,2011-03-21 00:00:00,-15.794229,-47.882166
51,"Rio de Janeiro, Brazil",Favela Cidade de Deus,2011-03-19 00:00:00,2011-03-21 00:00:00,-22.911632,-43.188286
52,"Santiago, Chile",Met with President Sebastián Piñera,2011-03-21 00:00:00,2011-03-22 00:00:00,-33.46912,-70.641997
53,"San Salvador, El Salvador",Met with President Mauricio Funes,2011-03-22 00:00:00,2011-03-23 00:00:00,13.69294,-89.218191
54,"Moneygall, Ireland",Home of President's great-great-great grandfather,2011-05-22 00:00:00,2011-05-23 00:00:00,52.879738,-7.957808
55,"Dublin, Ireland",Speech at College Green,2011-05-22 00:00:00,2011-05-23 00:00:00,53.349805,-6.26031
56,"London, United Kingdom",State Visit,2011-05-23 00:00:00,2011-05-26 00:00:00,51.507351,-0.127758
